home_team,away_team,referee
Melbourne Storm,Penrith Panthers,Grant Atkins
Canberra Raiders,Brisbane Broncos,Adam Gee
Dolphins,Parramatta Eels,Gerard Sutton
Newcastle Knights,Manly-Warringah Sea Eagles,Wyatt Raymond
South Sydney Rabbitohs,New Zealand Warriors,Todd Smith
St. George Illawarra Dragons,Canterbury-Bankstown Bulldogs,Liam Kennedy
Gold Coast Titans,Cronulla-Sutherland Sharks,Peter Gough
Sydney Roosters,Wests Tigers,Ashley Klein
