match_id,home_team,away_team,home_score,away_score,match_date
334,Parramatta Eels,South Sydney Rabbitohs,12,32,2026-06-25
335,Gold Coast Titans,Canterbury-Bankstown Bulldogs,12,30,2026-06-26
336,Brisbane Broncos,Sydney Roosters,18,24,2026-06-26
337,Dolphins,New Zealand Warriors,26,24,2026-06-27
338,North Queensland Cowboys,Penrith Panthers,26,12,2026-06-27
339,Manly-Warringah Sea Eagles,Melbourne Storm,30,4,2026-06-27
340,Canberra Raiders,St. George Illawarra Dragons,24,16,2026-06-28
341,Newcastle Knights,Wests Tigers,12,6,2026-06-28
