year,date,market_id,home_team,away_team,pregame_home_back,pregame_away_back,pregame_home_lay,pregame_away_lay,ht_home_back,ht_away_back,ht_home_lay,ht_away_lay,ht_matched_volume,ft_home_score,ft_away_score,ft_margin,ft_total,home_won,ht_home_impl_prob,ht_away_impl_prob,pregame_home_impl_prob,pregame_away_impl_prob,home_price_drift,away_price_drift,home_prob_shift,away_prob_shift,ht_deficit,deficit_band,ht_disposal_diff,ht_inside50_diff,ht_clearance_diff,ht_score_shot_diff,ft_score_diff,away_won,ht_home_score,ht_away_score,ht_home_goals,ht_home_behinds,ht_away_goals,ht_away_behinds,ft_home_score_afl,ft_away_score_afl,ht_score_diff,ht_total_score,ht_leader
2022,26/03/2022,196278913,Essendon,Brisbane,3.1,1.44,3.2,1.46,3.25,1.39,3.7,1.4,83655.49,75.0,97.0,-22.0,172.0,0,0.3076923076923077,0.7194244604316548,0.3225806451612903,0.6944444444444444,-0.1499999999999999,0.05,-0.0148883374689826,0.0249800159872103,,,,,,,-22.0,1,39.0,44.0,5.0,9.0,7.0,2.0,75.0,97.0,-5.0,83.0,away
2022,26/03/2022,196279466,Port Adelaide,Hawthorn,1.33,3.95,1.34,4.0,2.0,1.44,4.2,1.56,204349.64,56.0,120.0,-64.0,176.0,0,0.5,0.6944444444444444,0.7518796992481203,0.2531645569620253,-0.6699999999999999,2.51,-0.2518796992481202,0.4412798874824191,,,,,,,-64.0,1,24.0,52.0,3.0,6.0,8.0,4.0,56.0,120.0,-28.0,76.0,away
2022,26/03/2022,196279934,Gold Coast,Melbourne,4.4,1.28,4.5,1.29,5.9,1.13,10.0,1.16,26529.98,69.0,82.0,-13.0,151.0,0,0.1694915254237288,0.8849557522123894,0.2272727272727272,0.78125,-1.5,0.1500000000000001,-0.0577812018489984,0.1037057522123894,,,,,,,-13.0,1,41.0,55.0,6.0,5.0,9.0,1.0,69.0,82.0,-14.0,96.0,away
2022,27/03/2022,196280402,North Melbourne,West Coast,1.31,4.2,1.32,4.3,1.1,6.2,1.14,25.0,200168.34,74.0,59.0,15.0,133.0,1,0.9090909090909092,0.1612903225806451,0.7633587786259541,0.238095238095238,0.2099999999999999,-2.0,0.1457321304649549,-0.0768049155145929,,,,,,,15.0,0,46.0,28.0,6.0,10.0,4.0,4.0,74.0,59.0,18.0,74.0,home
2022,27/03/2022,196280870,Richmond,GWS,2.54,1.63,2.56,1.65,2.28,2.88,1.49,3.5,152332.27,109.0,73.0,36.0,182.0,1,0.4385964912280702,0.3472222222222222,0.3937007874015747,0.6134969325153374,0.2600000000000002,-1.25,0.0448957038264954,-0.2662747102931152,,,,,,,36.0,0,49.0,29.0,7.0,7.0,4.0,5.0,109.0,73.0,20.0,78.0,home
2022,27/03/2022,196281338,Fremantle,St Kilda,1.83,2.18,1.84,2.2,1.42,2.9,1.51,3.6,192024.93,55.0,65.0,-10.0,120.0,0,0.7042253521126761,0.3448275862068966,0.5464480874316939,0.4587155963302752,0.4100000000000001,-0.7199999999999998,0.1577772646809822,-0.1138880101233786,,,,,,,-10.0,1,31.0,19.0,5.0,1.0,2.0,7.0,55.0,65.0,12.0,50.0,home
2022,31/03/2022,196613355,Western Bulldogs,Sydney,1.75,2.3,1.76,2.36,1.18,6.0,1.19,6.4,222475.73,71.0,60.0,11.0,131.0,1,0.8474576271186441,0.1666666666666666,0.5714285714285714,0.4347826086956522,0.5700000000000001,-3.7,0.2760290556900727,-0.2681159420289856,,,,,,,11.0,0,34.0,9.0,4.0,10.0,1.0,3.0,71.0,60.0,25.0,43.0,home
2022,1/04/2022,196613823,Melbourne,Essendon,1.27,4.6,1.28,4.7,1.21,5.1,1.27,15.0,292154.1,99.0,70.0,29.0,169.0,1,0.8264462809917356,0.196078431372549,0.7874015748031495,0.2173913043478261,0.06,-0.5,0.039044706188586,-0.021312872975277,,,,,,,29.0,0,32.0,23.0,4.0,8.0,3.0,5.0,99.0,70.0,9.0,55.0,home
2022,1/04/2022,196614291,Adelaide,Port Adelaide,3.2,1.44,3.25,1.46,3.65,1.23,10.0,1.23,52824.74,96.0,92.0,4.0,188.0,1,0.273972602739726,0.8130081300813008,0.3125,0.6944444444444444,-0.4499999999999997,0.2099999999999999,-0.0385273972602739,0.1185636856368563,,,,,,,4.0,0,45.0,61.0,7.0,3.0,9.0,7.0,96.0,92.0,-16.0,106.0,away
2022,2/04/2022,196614759,GWS,Gold Coast,1.6,2.64,1.61,2.66,1.07,8.2,1.08,18.0,95230.51,83.0,57.0,26.0,140.0,1,0.9345794392523364,0.1219512195121951,0.625,0.3787878787878788,0.53,-5.559999999999999,0.3095794392523364,-0.2568366592756836,,,,,,,26.0,0,55.0,23.0,8.0,7.0,3.0,5.0,83.0,57.0,32.0,78.0,home
2022,2/04/2022,196615227,Collingwood,Geelong,2.8,1.54,2.84,1.55,2.62,1.55,2.9,1.61,83010.07,91.0,104.0,-13.0,195.0,0,0.381679389312977,0.6451612903225806,0.3571428571428571,0.6493506493506493,0.1799999999999997,-0.01,0.0245365321701199,-0.0041893590280687,,,,,,,-13.0,1,35.0,40.0,4.0,11.0,6.0,4.0,91.0,104.0,-5.0,75.0,away
