league,week,date,home,away,source,score,actual_1x2,actual_goals,model_rps,opening_market_rps,closing_market_rps,model_1x2_log_loss,opening_1x2_log_loss,closing_1x2_log_loss,model_1x2_pick_correct,opening_market_pick_correct,closing_market_pick_correct,model_ou_brier,opening_ou_brier,closing_ou_brier,model_ou_log_loss,opening_ou_log_loss,closing_ou_log_loss,model_ou_pick_correct,opening_ou_pick_correct,closing_ou_pick_correct
EPL,1,2026-08-21,Arsenal,Coventry,gw1_prices_2026-08-19.json,3-0,H,3,0.051823191400000024,0.023459070502175244,0.0241469564939832,0.3597081107704361,0.23082386574231195,0.2345073099645248,1,1,1,0.194973467364,0.15555296570388932,0.156347615576843,0.5826045154627596,0.5015389381977866,0.5032016986553314,1,1,1
EPL,1,2026-08-22,Hull,Man United,gw1_prices_2026-08-19.json,2-0,H,2,0.31614365945,0.6350952391596876,0.6429761905820665,1.1248535998733369,2.180663815946435,2.196921090891376,0,0,0,0.311857467364,0.32823350694444453,0.36674889445706993,0.8174458972380224,0.8507761247635286,0.9303844949500145,0,0,0
EPL,1,2026-08-22,Ipswich,Sunderland,gw1_prices_2026-08-19.json,2-1,H,3,0.2696946663805,0.2766486449772586,0.2923388760092027,1.036147478684027,1.0481062506100436,1.099244708846143,1,0,0,0.3120529526889999,0.2663001515628127,0.3154841865239287,0.8178422997208419,0.725758766148706,0.824805562709946,0,0,0
EPL,1,2026-08-22,Everton,Crystal Palace,gw1_prices_2026-08-19.json,2-0,H,2,0.21440627585000002,0.20750170031669024,0.22339877654242374,0.8727763650431958,0.851924551247003,0.896549929364676,1,1,1,0.255235123264,0.2368789610683568,0.2368789610683568,0.7036178067432571,0.6668989544850091,0.6668989544850091,0,1,1
EPL,1,2026-08-22,Nott'm Forest,Leeds,gw1_prices_2026-08-19.json,0-1,A,1,0.35455112104100006,0.32840286413457653,0.30478793257858405,1.2679070636220273,1.1911950861346043,1.1374322805176917,0,0,0,0.255235123264,0.23941919986273552,0.19675394906345364,0.7036178067432571,0.671982369367902,0.5862131004546884,0,1,1
EPL,1,2026-08-22,Brentford,Tottenham,gw1_prices_2026-08-19.json,3-0,H,3,0.17093641823450006,0.2528428673096924,0.17816463683402498,0.7250610538054761,0.9611380917465447,0.7530227167661625,1,1,1,0.10662249396100001,0.1947044427325839,0.18559673867842855,0.3953133124018879,0.5820589741587945,0.563539926391557,1,1,1
EPL,1,2026-08-23,Man City,Bournemouth,gw1_prices_2026-08-19.json,2-1,H,3,0.07024247252799998,0.07562529463039001,0.0706365303784837,0.42089351626538346,0.4393657864432079,0.4237439112255148,1,1,1,0.10662249396100001,0.11324269057478605,0.14659061348019464,0.3953133124018879,0.4102498062315008,0.48267807014246344,1,1,1
EPL,1,2026-08-23,Brighton,Aston Villa,gw1_prices_2026-08-19.json,4-0,H,4,0.18263112849999996,0.20945790986533708,0.18409321637888154,0.7685821866800354,0.8457322191970836,0.7862304758716528,1,1,1,0.22850503248399995,0.18983060188342596,0.2648817777777777,0.6501298375815184,0.5721613469990381,0.7229193388936153,1,1,0
EPL,1,2026-08-23,Newcastle,Liverpool,gw1_prices_2026-08-19.json,2-2,D,4,0.14965954249999996,0.15542814468945043,0.15514934386582158,1.4657705626216875,1.4069886755200207,1.3945846962114294,0,0,0,0.049382617284000015,0.1396983138907951,0.13402435269757135,0.25131414256666124,0.46802538923363,0.4558536005209775,1,1,1
EPL,1,2026-08-24,Fulham,Chelsea,gw1_prices_2026-08-19.json,2-3,A,5,0.23635167237799998,0.1600769287636445,0.1770933955330752,0.9151413926176336,0.7026285980701545,0.7621923382616482,1,1,1,0.194973467364,0.17670718322437265,0.24075377777777782,0.5826045154627596,0.5453576073083666,0.674652597923781,1,1,1
