league,week,market,bets,wins,mean_clv_pct,positive_clv_rate,opening_profit_units,opening_roi_pct,closing_profit_units,closing_roi_pct,mean_open_edge_pp,mean_close_edge_pp
EFL Championship,1,1X2,12,5,2.32848477784268,0.4166666666666667,2.8200000000000003,23.5,3.4399999999999995,28.666666666666664,6.978665680868867,6.868759666733044
EFL Championship,1,O/U 2.5,12,5,1.4074737616859931,0.5833333333333334,-2.22,-18.500000000000004,-2.15,-17.916666666666668,4.817408613411011,4.056058903469007
EFL Championship,2,1X2,11,3,4.103078753568681,0.6363636363636364,3.0700000000000003,27.90909090909091,1.4900000000000002,13.545454545454547,5.073790129409967,3.808967694017751
EFL Championship,2,O/U 2.5,11,3,-1.1383499638716825,0.36363636363636365,-5.319999999999999,-48.36363636363636,-5.37,-48.81818181818182,5.130261374650972,5.667319177076282
EPL,1,1X2,10,4,3.156375600342751,0.7,4.489999999999999,44.9,3.99,39.900000000000006,6.082228524027265,4.877935130658093
EPL,1,O/U 2.5,10,4,2.222840569595027,0.6,-3.1900000000000004,-31.900000000000006,-2.96,-29.599999999999998,4.783799895666974,3.891242983814577
EPL,2,1X2,9,2,-3.6820297029922924,0.2222222222222222,-4.3,-47.77777777777777,-4.109999999999999,-45.666666666666664,7.564720523399673,8.226426760336887
EPL,2,O/U 2.5,9,4,5.157986901598975,1.0,-2.4800000000000004,-27.55555555555556,-2.9000000000000004,-32.22222222222222,12.759163865492807,9.850766883027726
