league,week,market,matches,model_score,opening_market_score,closing_market_score,score_name,model_log_loss,closing_market_log_loss,model_pick_accuracy,closing_market_pick_accuracy,mean_abs_edge_open_pp,mean_abs_edge_close_pp,value_side_mean_move_pct,value_side_shortened_rate
EPL,1,1X2,10,0.20164401482620004,0.23245386643489022,0.2252785855196547,RPS_lower_is_better,0.8956841329983238,0.9684429457920819,0.7,0.6,4.91658369168523,4.381764027279378,-0.3963073497306101,0.4
EPL,1,O/U 2.5,10,0.20154602389989998,0.20405680174482024,0.22440608671014023,Brier_lower_is_better,0.5899803446322853,0.6411147345127384,0.6,0.7,4.783799895666974,5.667565451006178,-5.681978387884762,0.3
EPL,2,1X2,9,0.18108967081343894,0.1586256704134086,0.15661512129412491,RPS_lower_is_better,1.0026720075784736,0.9143067442828237,0.5555555555555556,0.5555555555555556,5.209411391088445,5.952707543809334,-3.6820297029922924,0.2222222222222222
EPL,2,O/U 2.5,9,0.2813664922222222,0.22742807523479003,0.2246123288467307,Brier_lower_is_better,0.7587236950019608,0.6405507536091518,0.4444444444444444,0.5555555555555556,12.759163865492805,9.850766883027724,5.157986901598975,1.0
EFL Championship,1,1X2,12,0.2304803333333333,0.23202294118717562,0.24216626079075762,RPS_lower_is_better,1.1267879211846212,1.1634412322548384,0.3333333333333333,0.25,5.737820226972623,5.708300207894108,0.8471679134750733,0.25
EFL Championship,1,O/U 2.5,12,0.26519391666666664,0.24923947524569476,0.25829657789157173,Brier_lower_is_better,0.7234831614282888,0.7099768453956276,0.3333333333333333,0.5833333333333334,4.817408613411014,5.011252975386211,-1.6124970849973475,0.4166666666666667
EFL Championship,2,1X2,11,0.2212596570255,0.23934508157459822,0.2494788613939227,RPS_lower_is_better,1.1175801377258059,1.2007527643287477,0.36363636363636365,0.2727272727272727,4.645041160989957,4.963270992592253,-1.2418881962510349,0.36363636363636365
EFL Championship,2,O/U 2.5,11,0.2747963430522727,0.24445955656039473,0.2362403478712136,Brier_lower_is_better,0.7429141728934753,0.66534772347519,0.2727272727272727,0.5454545454545454,5.13026137465097,5.804135424658487,-1.8119036828799482,0.2727272727272727
