season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,model_selected_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,h2h,ml,Cronulla-Sutherland Sharks,,1.656,2.525,1.656,,,1.46,1.55,-0.0581,win,tie
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,h2h,normal,Cronulla-Sutherland Sharks,,1.246,5.065,1.246,,,1.46,1.55,-0.0581,win,tie
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,h2h,market,Canterbury-Bankstown Bulldogs,,,,,,,2.65,2.45,0.0816,loss,tie
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,handicap,ml,Canterbury-Bankstown Bulldogs,2.5,,,,6.5,5.5,1.85,1.9,1.0,loss,normal
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,handicap,normal,Cronulla-Sutherland Sharks,10.18,,,,-6.5,-5.5,1.95,1.9,-1.0,win,normal
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,handicap,market,Canterbury-Bankstown Bulldogs,,,,,6.5,5.5,1.85,1.9,1.0,loss,normal
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,total,ml,under,2.0,,,,49.5,48.5,2.0,2.12,1.0,loss,tie
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,total,normal,under,49.0,,,,49.5,48.5,2.0,2.12,1.0,loss,tie
2026,11,2026-05-15,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,38,16,22.0,54.0,total,market,under,,,,,49.5,48.5,2.0,2.12,1.0,loss,tie
2026,11,2026-05-15,South Sydney Rabbitohs,Dolphins,10,32,-22.0,42.0,h2h,ml,Dolphins,,3.125,1.471,1.471,,,2.15,1.74,0.2356,win,tie
2026,11,2026-05-15,South Sydney Rabbitohs,Dolphins,10,32,-22.0,42.0,h2h,normal,Dolphins,,2.158,1.864,1.864,,,2.15,1.74,0.2356,win,tie
2026,11,2026-05-15,South Sydney Rabbitohs,Dolphins,10,32,-22.0,42.0,h2h,market,Dolphins,,,,,,,2.15,1.74,0.2356,win,tie
