game_id,gameday,gametime,home_team,away_team,schedule_away_spread,ridge_margin,elo_margin,base_margin,base_fair_home_spread,base_total,t1_injury_points,t2_qb_points,t2_continuity_points,t2_weather_points,t3_confluence_points,fair_margin,fair_home_spread,fair_total,home_win_probability,home_moneyline_american,away_moneyline_american,tier_status,official_price_changed,paper_price_generated,staking_enabled,model_home_win_probability,model_away_win_probability,model_fair_home_spread,model_fair_total,market_home_decimal,market_away_decimal,market_home_spread,market_total,home_ml_ev,away_ml_ev,market_books,odds_api_captured_at_utc
2026_02_DET_BUF,2026-09-17,20:15,BUF,DET,3.0,7.731407251939645,5.151169968487875,7.086347931076703,-7.086347931076703,55.88956375582837,-0.0515088852528559,-0.4696206949286799,-0.0029235511233694,0.0,0.0,6.562294799771798,-6.562294799771798,55.88956375582837,0.6712824017170214,-204,204,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.6712824017170214,0.32871759828297864,-6.562294799771798,55.88956375582837,1.47,3.05,-4.75,53.5,-0.013214869475978608,0.002588674763084775,43,2026-09-15T23:55:26.495993+00:00
2026_02_CAR_ATL,2026-09-20,13:00,ATL,CAR,1.5,5.327660063395729,6.164611390478167,5.536897895166339,-5.536897895166339,45.96923996235929,2.2936313208465213,-2.720672831007604,-0.0029235511233694,0.0,0.0,5.106932833881888,-5.106932833881888,45.96923996235929,0.6303839252813237,-171,171,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.6303839252813237,0.3696160747186763,-5.106932833881888,45.96923996235929,2.32,1.73,2.5,43.5,0.4624907066526709,-0.36056419073669,42,2026-09-15T23:55:26.495993+00:00
2026_02_NO_BAL,2026-09-20,13:00,BAL,NO,7.5,7.559341899317398,14.21917619295693,9.22430047272728,-9.22430047272728,49.20499355502872,-0.2037489873550609,-1.6216977211933703,-0.0029235511233694,0.0,0.0,7.39593021305548,-7.39593021305548,49.20499355502872,0.6936348481711855,-226,226,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.6936348481711855,0.3063651518288145,-7.39593021305548,49.20499355502872,1.27,4.8,-8.5,47.0,-0.11908374282259437,0.47055272877830956,43,2026-09-15T23:55:26.495993+00:00
2026_02_MIN_CHI,2026-09-20,13:00,CHI,MIN,3.5,2.943059528767661,-2.3097254504459848,1.6298632839642495,-1.6298632839642495,44.453158509019374,0.3282199089931938,-0.3606948126509823,-0.0029235511233694,0.0,0.0,1.5944648291830918,-1.5944648291830918,44.453158509019374,0.524763322161953,-110,110,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.524763322161953,0.475236677838047,-1.5944648291830918,44.453158509019374,1.46,3.1,-5.5,48.5,-0.23384554964354864,0.47323370129794573,43,2026-09-15T23:55:26.495993+00:00
2026_02_CIN_HOU,2026-09-20,13:00,HOU,CIN,2.5,2.72044353175645,6.661528141963345,3.7057146843081736,-3.7057146843081736,45.61581750910755,-0.2623893282744844,0.8224077644123269,-0.0029235511233694,0.0,0.0,4.262809569322648,-4.262809569322648,45.61581750910755,0.60572777673819,-154,154,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.60572777673819,0.39427222326181,-4.262809569322648,45.61581750910755,1.71,2.38,-2.5,46.5,0.03579449822230485,-0.06163210863689228,43,2026-09-15T23:55:26.495993+00:00
2026_02_PIT_NE,2026-09-20,13:00,NE,PIT,4.5,8.341844230829942,1.3767098901223471,6.600560645653044,-6.600560645653044,45.8464636274813,0.5412695046837438,-1.0052504903019996,-0.0029235511233694,0.0,0.0,6.133656108911418,-6.133656108911418,45.8464636274813,0.6594713588910668,-194,194,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.6594713588910668,0.3405286411089332,-6.133656108911418,45.8464636274813,1.46,3.15,-5.0,41.5,-0.037171816019042514,0.07266521949313964,43,2026-09-15T23:55:26.495993+00:00
2026_02_GB_NYJ,2026-09-20,13:00,NYJ,GB,-5.5,-9.850217600657606,-10.12476239398844,-9.918853798990314,9.918853798990314,49.139370870640384,0.7095260294031732,1.798020419484315,-0.0029235511233694,0.0,0.0,-7.414230901226195,7.414230901226195,49.139370870640384,0.2658364707353035,276,-276,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.2658364707353035,0.7341635292646965,7.414230901226195,49.139370870640384,2.8,1.57,3.5,44.5,-0.25565788194115036,0.15263674094557356,43,2026-09-15T23:55:26.495993+00:00
2026_02_CLE_TB,2026-09-20,13:00,TB,CLE,5.5,10.78130582961807,7.323869107135215,9.916946648997357,-9.916946648997357,40.89252506250465,0.4775781036967452,1.259366206426712,-0.0029235511233694,0.0,0.0,11.650967407997443,-11.650967407997443,40.89252506250465,0.793114779536181,-383,383,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.793114779536181,0.20688522046381896,-11.650967407997443,40.89252506250465,1.26,4.8,-8.5,41.5,-0.0006753777844118458,-0.0069509417736690615,42,2026-09-15T23:55:26.495993+00:00
2026_02_PHI_TEN,2026-09-20,13:00,TEN,PHI,-4.5,-12.73973406492722,-16.707093834708548,-13.731574007372554,13.731574007372554,45.009819281376,-0.2206229521152697,2.5582783425500124,-0.0029235511233694,0.0,0.0,-11.39684216806118,11.39684216806118,45.009819281376,0.1811213327533802,452,-452,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.1811213327533802,0.8188786672466198,11.39684216806118,45.009819281376,4.0,1.33,7.0,39.5,-0.27551466898647925,0.0891086274380044,43,2026-09-15T23:55:26.495993+00:00
2026_02_JAX_DEN,2026-09-20,16:05,DEN,JAX,2.5,-4.257165073415566,5.0475257413724925,-1.9309923697185511,1.9309923697185511,48.541945912769,-0.0228856081515486,-0.6405038140644431,-0.0029235511233694,0.0,0.0,-2.5973053430579127,2.5973053430579127,48.541945912769,0.39659547299148,152,-152,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.39659547299148,0.60340452700852,2.5973053430579127,48.541945912769,1.72,2.32,-2.5,45.5,-0.3178557864546544,0.39989850265976634,42,2026-09-15T23:55:26.495993+00:00
2026_02_LV_LAC,2026-09-20,16:05,LAC,LV,8.5,8.845288734697522,12.54290719608165,9.769693350043552,-9.769693350043552,36.19328901311272,0.1127595338229084,-0.7054260636926012,-0.0029235511233694,0.0,0.0,9.174103269050493,-9.174103269050493,36.19328901311272,0.7383186993085558,-282,282,T1 strength + T1 injuries + T2 QB + T2 continuity; T2 weather unresolved; T3 confluence gate only,False,True,False,0.7383186993085558,0.26168130069144424,-9.174103269050493,36.19328901311272,1.37,3.65,-6.5,43.5,0.011496618052721397,-0.04486325247622858,41,2026-09-15T23:55:26.495993+00:00
