game_id,away_team,home_team,model_home_win_probability,model_away_win_probability,model_fair_home_spread,model_fair_total,market_home_decimal,market_away_decimal,market_home_spread,market_total,home_ml_ev,away_ml_ev,market_books,odds_api_captured_at_utc
2026_02_DET_BUF,DET,BUF,0.6712824017170214,0.32871759828297864,-6.562294799771798,55.88956375582837,1.47,3.05,-4.75,53.5,-0.013214869475978608,0.002588674763084775,43,2026-09-15T23:55:26.495993+00:00
2026_02_CAR_ATL,CAR,ATL,0.6303839252813237,0.3696160747186763,-5.106932833881888,45.96923996235929,2.32,1.73,2.5,43.5,0.4624907066526709,-0.36056419073669,42,2026-09-15T23:55:26.495993+00:00
2026_02_NO_BAL,NO,BAL,0.6936348481711855,0.3063651518288145,-7.39593021305548,49.20499355502872,1.27,4.8,-8.5,47.0,-0.11908374282259437,0.47055272877830956,43,2026-09-15T23:55:26.495993+00:00
2026_02_MIN_CHI,MIN,CHI,0.524763322161953,0.475236677838047,-1.5944648291830918,44.453158509019374,1.46,3.1,-5.5,48.5,-0.23384554964354864,0.47323370129794573,43,2026-09-15T23:55:26.495993+00:00
2026_02_CIN_HOU,CIN,HOU,0.60572777673819,0.39427222326181,-4.262809569322648,45.61581750910755,1.71,2.38,-2.5,46.5,0.03579449822230485,-0.06163210863689228,43,2026-09-15T23:55:26.495993+00:00
2026_02_CLE_TB,CLE,TB,0.793114779536181,0.20688522046381896,-11.650967407997443,40.89252506250465,1.26,4.8,-8.5,41.5,-0.0006753777844118458,-0.0069509417736690615,42,2026-09-15T23:55:26.495993+00:00
2026_02_GB_NYJ,GB,NYJ,0.2658364707353035,0.7341635292646965,7.414230901226195,49.139370870640384,2.8,1.57,3.5,44.5,-0.25565788194115036,0.15263674094557356,43,2026-09-15T23:55:26.495993+00:00
2026_02_PIT_NE,PIT,NE,0.6594713588910668,0.3405286411089332,-6.133656108911418,45.8464636274813,1.46,3.15,-5.0,41.5,-0.037171816019042514,0.07266521949313964,43,2026-09-15T23:55:26.495993+00:00
2026_02_PHI_TEN,PHI,TEN,0.1811213327533802,0.8188786672466198,11.39684216806118,45.009819281376,4.0,1.33,7.0,39.5,-0.27551466898647925,0.0891086274380044,43,2026-09-15T23:55:26.495993+00:00
2026_02_JAX_DEN,JAX,DEN,0.39659547299148,0.60340452700852,2.5973053430579127,48.541945912769,1.72,2.32,-2.5,45.5,-0.3178557864546544,0.39989850265976634,42,2026-09-15T23:55:26.495993+00:00
2026_02_LV_LAC,LV,LAC,0.7383186993085558,0.26168130069144424,-9.174103269050493,36.19328901311272,1.37,3.65,-6.5,43.5,0.011496618052721397,-0.04486325247622858,41,2026-09-15T23:55:26.495993+00:00
2026_02_SEA_ARI,SEA,ARI,0.1874311590240434,0.8125688409759566,11.05766008111618,48.20368222177848,2.85,1.5,4.0,41.0,-0.46582119678147627,0.2188532614639349,42,2026-09-15T23:55:26.495993+00:00
2026_02_WAS_DAL,WAS,DAL,0.5363256881974996,0.4636743118025004,-1.9695614390098404,52.188887404540274,1.52,2.84,-4.0,50.5,-0.18478495393980066,0.31683504551910113,42,2026-09-15T23:55:26.495993+00:00
2026_02_MIA_SF,MIA,SF,0.7275543265281401,0.2724456734718599,-8.729731973048985,50.55233051562052,1.13,9.2,-13.5,45.5,-0.1778636110232017,1.5065001959411108,42,2026-09-15T23:55:26.495993+00:00
2026_02_IND_KC,IND,KC,0.5696388782454943,0.4303611217545057,-3.0588505829533337,44.21967238377952,1.37,3.65,-6.5,46.5,-0.2195947368036727,0.5708180944039458,40,2026-09-15T23:55:26.495993+00:00
2026_02_NYG_LA,NYG,LA,0.7432988531818878,0.2567011468181122,-9.383668691724557,53.37809201006871,1.34,4.0,-7.0,48.25,-0.003979536736270273,0.02680458727244872,39,2026-09-15T23:55:26.495993+00:00
