season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Aston Villa,h,19,18.0,0.650993,0.845626,0.650993,0.845626,0,1,0,15.69
2014/15,Aston Villa,h,20,4.96,1.38709,0.575995,1.38709,0.575995,0,1,0,14.74
2014/15,Aston Villa,a,21,6.32,0.606149,2.36522,0.606149,2.36522,0,0,1,13.96
2014/15,Aston Villa,h,22,11.0,0.845309,1.54424,0.845309,1.54424,0,0,1,12.97
2014/15,Aston Villa,a,23,13.6,0.714521,2.35805,0.714521,1.59688,0,0,1,12.02
2014/15,Aston Villa,h,24,17.88,0.707847,1.11662,0.707847,1.11662,0,0,1,13.15
2014/15,Aston Villa,a,25,7.28,0.423817,0.985975,0.423817,0.985975,0,0,1,13.24
2014/15,Aston Villa,h,26,11.75,0.234004,1.11955,0.234004,0.358377,0,0,1,12.86
2014/15,Aston Villa,a,27,7.36,0.773437,0.93198,0.773437,0.93198,0,0,1,11.28
2014/15,Aston Villa,h,28,8.29,1.9201,0.905628,1.15893,0.905628,1,0,0,10.64
2014/15,Aston Villa,a,29,10.32,1.50195,0.472898,1.50195,0.472898,1,0,0,9.88
2014/15,Aston Villa,h,30,12.0,0.762371,1.90437,0.762371,1.90437,0,0,1,10.58
2014/15,Aston Villa,a,31,25.07,0.311787,1.9836,0.311787,1.9836,0,0,1,12.46
2014/15,Aston Villa,h,32,6.5,1.86698,1.43061,1.86698,1.43061,0,1,0,12.0
2014/15,Aston Villa,a,33,6.87,0.860976,0.621738,0.860976,0.621738,1,0,0,11.33
2014/15,Aston Villa,a,34,12.0,0.901376,1.1892,0.901376,1.1892,0,0,1,10.74
2014/15,Aston Villa,h,35,8.14,1.56179,1.4049,1.56179,0.643736,1,0,0,10.83
2014/15,Aston Villa,h,36,12.86,1.26585,0.149381,1.26585,0.149381,1,0,0,10.94
2014/15,Aston Villa,a,37,18.88,1.18593,3.59558,1.18593,3.59558,0,0,1,12.09
2014/15,Aston Villa,h,38,10.8,0.654751,0.66113,0.654751,0.66113,0,0,1,12.34
2014/15,Burnley,h,1,17.95,0.371141,2.12996,0.371141,2.12996,0,0,1,
2014/15,Burnley,a,2,13.75,0.843331,0.914215,0.843331,0.914215,0,0,1,
2014/15,Burnley,h,3,11.3,0.513746,0.467281,0.513746,0.467281,0,1,0,14.33
2014/15,Burnley,a,4,7.5,1.2493,0.780534,0.488131,0.780534,0,1,0,12.62
2014/15,Burnley,h,5,8.4,0.710673,0.643512,0.710673,0.643512,0,1,0,11.78
2014/15,Burnley,a,6,19.0,0.473814,1.81127,0.473814,1.81127,0,0,1,12.98
2014/15,Burnley,a,7,6.72,0.957718,1.57773,0.957718,1.57773,0,1,0,12.09
2014/15,Burnley,h,8,17.36,1.74404,2.84138,1.74404,2.84138,0,0,1,12.75
2014/15,Burnley,h,9,13.29,1.55564,1.32187,1.55564,1.32187,0,0,1,12.81
2014/15,Burnley,a,10,13.0,0.684259,4.3298,0.684259,4.3298,0,0,1,12.83
2014/15,Burnley,h,11,8.28,1.10315,0.526656,1.10315,0.526656,1,0,0,11.86
2014/15,Burnley,a,12,15.05,1.27532,1.94307,1.27532,1.94307,1,0,0,11.99
2014/15,Burnley,h,13,10.52,2.3058,1.0873,1.54463,1.0873,0,1,0,11.91
2014/15,Burnley,h,14,8.86,0.678486,1.0006,0.678486,1.0006,0,1,0,12.05
2014/15,Burnley,a,15,6.44,1.2646,1.63744,1.2646,1.63744,0,0,1,11.85
2014/15,Burnley,h,16,8.03,0.396158,1.713,0.396158,0.951835,1,0,0,10.76
2014/15,Burnley,a,17,11.73,0.655135,1.77346,0.655135,1.77346,0,0,1,11.26
2014/15,Burnley,h,18,10.32,0.61207,1.06708,0.61207,1.06708,0,0,1,10.55
2014/15,Burnley,a,19,15.47,0.962215,1.38586,0.962215,1.38586,0,1,0,10.77
2014/15,Burnley,a,20,6.61,1.65582,1.24639,1.65582,1.24639,0,1,0,10.13
2014/15,Burnley,h,21,6.3,2.19126,1.69555,2.19126,0.93438,1,0,0,9.93
2014/15,Burnley,h,22,6.18,1.08428,0.528431,1.08428,0.528431,0,0,1,9.05
2014/15,Burnley,a,23,6.28,1.34786,1.89994,1.34786,1.89994,0,0,1,8.62
2014/15,Burnley,h,24,9.78,1.09795,2.55442,1.09795,2.55442,0,1,0,8.71
2014/15,Burnley,a,25,10.06,1.85067,1.62116,1.85067,0.859992,0,0,1,9.08
2014/15,Burnley,a,26,10.33,0.513251,1.53973,0.513251,1.53973,0,1,0,9.31
2014/15,Burnley,h,27,9.32,0.898885,1.41451,0.898885,1.41451,0,0,1,9.07
2014/15,Burnley,a,28,11.06,0.319239,1.30453,0.319239,1.30453,0,0,1,9.14
2014/15,Burnley,h,29,19.74,0.242058,1.2576,0.242058,1.2576,1,0,0,9.57
2014/15,Burnley,a,30,17.16,1.05022,1.92097,1.05022,1.92097,0,0,1,10.62
2014/15,Burnley,h,31,10.76,1.51355,0.377376,1.51355,0.377376,0,1,0,11.07
2014/15,Burnley,h,32,8.53,0.65718,1.21096,0.65718,1.21096,0,0,1,11.3
2014/15,Burnley,a,33,14.1,1.06159,2.36114,1.06159,1.59997,0,0,1,12.08
2014/15,Burnley,h,34,4.04,1.98975,1.21926,1.22858,1.21926,0,0,1,11.51
2014/15,Burnley,a,35,10.86,0.758485,3.23925,0.758485,2.47808,0,0,1,11.59
2014/15,Burnley,a,36,11.89,1.21303,1.12811,1.21303,1.12811,1,0,0,11.75
2014/15,Burnley,h,37,19.92,0.909845,1.76276,0.909845,1.76276,0,1,0,12.81
2014/15,Burnley,a,38,19.64,0.66113,0.654751,0.66113,0.654751,1,0,0,13.66
2014/15,Chelsea,a,1,13.73,2.12996,0.371141,2.12996,0.371141,1,0,0,
2014/15,Chelsea,h,2,7.05,2.02939,0.550894,2.02939,0.550894,1,0,0,
2014/15,Chelsea,a,3,10.59,2.02665,1.4491,2.02665,1.4491,1,0,0,10.46
2014/15,Chelsea,h,4,12.29,3.56581,1.02153,3.56581,1.02153,1,0,0,10.92
2014/15,Chelsea,a,5,14.9,1.02093,1.05592,1.02093,1.05592,0,1,0,11.71
2014/15,Chelsea,h,6,18.2,3.14218,0.228896,3.14218,0.228896,1,0,0,12.79
