bet_id,sport,round,match,market,selection,line,odds_taken,close_line,open_line,line_move,close_odds,clv_pct,clv_line,result,pnl
2026-0045,AFL,12,St Kilda Saints v Hawthorn Hawks,handicap,Hawthorn Hawks,-19.5,1.9,-20.5,-12.5,8.0,1.9,0.0,1.0,win,22.5
2026-0046,NRL,13,Cronulla-Sutherland Sharks v Manly-Warringah Sea Eagles,h2h,Cronulla-Sutherland Sharks,,1.87,,,,,,,win,43.5
2026-0047,NRL,13,Cronulla-Sutherland Sharks v Manly-Warringah Sea Eagles,total,over,44.5,1.77,,,,,,,win,13.48
2026-0048,NRL,13,Cronulla-Sutherland Sharks v Manly-Warringah Sea Eagles,total,under,46.5,1.89,,,,,,,loss,-25.0
2026-0049,NRL,13,Cronulla-Sutherland Sharks v Manly-Warringah Sea Eagles,total,under,50.5,1.81,,,,,,,win,20.25
2026-0050,NRL,13,Cronulla-Sutherland Sharks v Manly-Warringah Sea Eagles,h2h,Manly-Warringah Sea Eagles,,1.98,,,,,,,loss,-20.0
2026-0051,AFL,12,Carlton Blues v Geelong Cats,total,over,178.5,1.89,178.5,177.5,-1.0,1.8,5.0,0.0,loss,-25.0
2026-0052,NRL,13,Wests Tigers v Canterbury-Bankstown Bulldogs,total,over,48.5,1.9,,,,,,,loss,-25.0
2026-0053,NRL,13,Wests Tigers v Canterbury-Bankstown Bulldogs,h2h,Canterbury-Bankstown Bulldogs,,1.98,,,,,,,win,18.09
2026-0054,AFL,12,Western Bulldogs v Collingwood Magpies,h2h,Collingwood Magpies,,2.26,,,,2.35,-3.83,,loss,-25.0
2026-0055,NRL,13,Penrith Panthers v New Zealand Warriors,total,under,47.5,1.9,,,,,,,win,22.5
2026-0056,NRL,13,Penrith Panthers v New Zealand Warriors,total,under,46.5,1.84,,,,,,,win,21.0
2026-0057,NRL,13,Penrith Panthers v New Zealand Warriors,handicap,Penrith Panthers,-3.5,1.83,,,,,,,loss,-25.0
2026-0058,NRL,13,Penrith Panthers v New Zealand Warriors,handicap,Penrith Panthers,-5.5,1.72,,,,,,,loss,-25.0
2026-0059,NRL,13,Canberra Raiders v North Queensland Cowboys,handicap,North Queensland Cowboys,4.5,1.73,,,,,,,loss,-25.0
2026-0060,AFL,12,West Coast Eagles v Essendon Bombers,h2h,Essendon Bombers,,2.31,,,,,,,win,19.98
2026-0061,AFL,12,West Coast Eagles v Essendon Bombers,h2h,Essendon Bombers,,2.39,,,,,,,loss,-25.0
