date,match,selection,market_avg,market_best,best_book,market_novig_p,p_normal_t5on,p_normal_t5off,p_shadow,ev_best_t5on,ev_best_t5off,ev_best_shadow,ev_avg_t5on,edge_vs_novig,dc_reset,market
2026-09-12,Preston v Lincoln,home,2.225,2.3,ladbrokes_uk,0.4183,0.3809,0.3809,0.4032,-0.1239,-0.1239,-0.0726,-0.1525,-0.0374,Lincoln,1X2
2026-09-12,Preston v Lincoln,draw,3.468,3.6,sportsbet,0.2684,0.2913,0.2913,0.2991,0.0485,0.0485,0.0766,0.0101,0.0229,Lincoln,1X2
2026-09-12,Preston v Lincoln,away,2.97,3.15,casumo,0.3134,0.3278,0.3278,0.2977,0.0327,0.0327,-0.0622,-0.0263,0.0145,Lincoln,1X2
2026-09-12,Preston v Lincoln,over25,1.796,1.83,leovegas,0.5181,0.4495,0.4495,0.4146,-0.1774,-0.1774,-0.2413,-0.1927,-0.0686,Lincoln,OU25
2026-09-12,Preston v Lincoln,under25,1.931,1.95,unibet,0.4819,0.5505,0.5505,0.5854,0.0735,0.0735,0.1416,0.063,0.0686,Lincoln,OU25
2026-09-12,Southampton v Bristol City,home,1.666,1.71,pointsbetau,0.5584,0.5685,0.5685,0.5712,-0.0279,-0.0279,-0.0233,-0.0529,0.0101,,1X2
2026-09-12,Southampton v Bristol City,draw,3.966,4.2,betway,0.2346,0.2318,0.2318,0.2398,-0.0263,-0.0263,0.0073,-0.0805,-0.0027,,1X2
2026-09-12,Southampton v Bristol City,away,4.493,4.75,tab,0.207,0.1997,0.1997,0.189,-0.0516,-0.0516,-0.1024,-0.1029,-0.0074,,1X2
2026-09-12,Southampton v Bristol City,over25,1.586,1.6,casumo,0.5873,0.595,0.595,0.5429,-0.0479,-0.0479,-0.1314,-0.0563,0.0077,,OU25
2026-09-12,Southampton v Bristol City,under25,2.257,2.3,leovegas,0.4127,0.405,0.405,0.4571,-0.0686,-0.0686,0.0514,-0.086,-0.0077,,OU25
2026-09-12,Swansea v Burnley,home,2.106,2.2,leovegas,0.4406,0.4334,0.4174,0.4063,-0.0465,-0.0818,-0.1061,-0.0872,-0.0072,Burnley,1X2
2026-09-12,Swansea v Burnley,draw,3.463,3.6,sportsbet,0.268,0.2841,0.2872,0.2957,0.0227,0.034,0.0646,-0.0162,0.0161,Burnley,1X2
2026-09-12,Swansea v Burnley,away,3.184,3.3,sportsbet,0.2914,0.2825,0.2954,0.298,-0.0677,-0.0252,-0.0167,-0.1005,-0.0089,Burnley,1X2
2026-09-12,Swansea v Burnley,over25,1.791,1.83,leovegas,0.5198,0.4495,0.4495,0.4139,-0.1774,-0.1774,-0.2426,-0.195,-0.0703,Burnley,OU25
2026-09-12,Swansea v Burnley,under25,1.939,1.96,unibet,0.4802,0.5505,0.5505,0.5861,0.079,0.079,0.1488,0.0674,0.0703,Burnley,OU25
2026-09-12,Watford v Stoke,home,2.354,2.45,pointsbetau,0.3949,0.4752,0.4434,0.4751,0.1642,0.0864,0.1639,0.1186,0.0802,,1X2
2026-09-12,Watford v Stoke,draw,3.319,3.5,sportsbet,0.2801,0.2901,0.2969,0.307,0.0155,0.0392,0.0745,-0.037,0.01,,1X2
2026-09-12,Watford v Stoke,away,2.861,3.0,betfred_uk,0.325,0.2347,0.2596,0.2179,-0.296,-0.221,-0.3462,-0.3286,-0.0903,,1X2
2026-09-12,Watford v Stoke,over25,1.906,1.94,unibet,0.4885,0.4495,0.4495,0.3857,-0.128,-0.128,-0.2517,-0.1433,-0.039,,OU25
2026-09-12,Watford v Stoke,under25,1.82,1.88,leovegas,0.5115,0.5505,0.5505,0.6143,0.0349,0.0349,0.1548,0.0019,0.039,,OU25
2026-09-13,Sheffield United v Wolves,home,2.9,3.1,unibet_uk,0.3197,0.487,0.487,0.4862,0.5096,0.5096,0.5071,0.4122,0.1672,Wolves,1X2
2026-09-13,Sheffield United v Wolves,draw,3.446,3.6,sportsbet,0.2691,0.27,0.27,0.2834,-0.0279,-0.0279,0.0202,-0.0695,0.001,Wolves,1X2
2026-09-13,Sheffield United v Wolves,away,2.255,2.35,sportsbet,0.4112,0.243,0.243,0.2304,-0.4289,-0.4289,-0.4585,-0.452,-0.1682,Wolves,1X2
2026-09-13,Sheffield United v Wolves,over25,1.719,1.75,playup,0.5416,0.4756,0.4756,0.4165,-0.1677,-0.1677,-0.2712,-0.1824,-0.066,Wolves,OU25
2026-09-13,Sheffield United v Wolves,under25,2.031,2.05,unibet,0.4584,0.5244,0.5244,0.5835,0.075,0.075,0.1963,0.065,0.066,Wolves,OU25
