round,match_date,home,away,market,selection,referee,referee_games,referee_cards_pg,referee_o35_pct,model_probability,min_price,odds_taken,stake_units,bookmaker,result,pnl,status,note
7,2026-09-12,Preston,Lincoln,Cards O/U 3.5,Over 3.5 cards,S Martin,95,4.21,63.2,0.599,1.67,1.85,25.0,,,,staked (2026-0118),"lambda 4.17 cards. Edge is the referee, not the fixture. Do not take below 1.67."
7,2026-09-12,Charlton,Portsmouth,Cards O/U 3.5,Under 3.5 cards,A Kitchen,80,3.25,38.8,0.597,1.68,1.85,25.0,,,,staked (2026-0119),"lambda 3.22 cards. Edge is the referee, not the fixture. Do not take below 1.68."
