id,season,round_number,game_date,home_team,away_team,venue,run_date,rules_margin,rules_total,rules_home_prob,rules_home_odds,rules_away_odds,ml_margin_raw,ml_total_raw,ml_h2h_raw,ml_margin,ml_total,ml_h2h,t1_margin,t1_total,t2_hcp,t2_tot,t3_hcp,t3_tot,t4_hcp,t4_tot,t5_hcp,t5_tot,t6_hcp,t6_tot,t7_tot,t8_hcp,t8_tot,weather_condition,temp_c,wind_kmh,wind_gust_kmh,wind_for_t7_kmh,precip_mm,dew_point_c,humidity_pct,weather_source,agreement_flag,actual_margin,actual_total,actual_home_win,rules_margin_error,rules_total_error,ml_margin_error,ml_total_error,created_at,ml_h2h_current_shadow,primary_margin,primary_total,primary_home_prob,primary_home_odds,primary_away_odds,primary_source_margin,primary_source_h2h
17,2026,26,2026-09-11,Fremantle Dockers,Geelong Cats,Optus Stadium,2026-09-06,3.0,183.7,0.5329,1.88,2.14,3.1,165.4,0.5039,1.0,161.3,0.5039,2.1,195.5,-1.97,-0.59,3.0,0.0,0.0,-7.8,1.0,-0.5,0.0,0.0,-4.5,-1.16,1.59,light_rain,16.0,10.4,25.2,16.4,0.3,14.6,91.0,open_meteo_fallback,strong,,,,,,,,2026-09-06 10:21:01,,4.0,183.7,0.5039,1.98,2.02,ml,ml_classifier
18,2026,26,2026-09-12,Brisbane Lions,Adelaide Crows,The Gabba,2026-09-06,15.8,207.5,0.6697,1.49,3.03,22.4,155.0,0.6513,19.6,152.6,0.6513,12.4,207.4,-2.81,-0.84,4.17,0.0,2.0,2.4,1.5,-0.5,0.0,0.0,-4.5,-1.45,3.55,light_rain,14.0,6.7,16.6,10.8,0.1,13.7,98.0,open_meteo_fallback,direction,,,,,,,,2026-09-06 10:21:01,,25.8,207.5,0.6513,1.54,2.87,ml,ml_classifier
