id,season,round_number,game_date,home_team,away_team,venue,run_date,rules_margin,rules_total,rules_home_prob,rules_home_odds,rules_away_odds,ml_margin_raw,ml_total_raw,ml_h2h_raw,ml_margin,ml_total,ml_h2h,t1_margin,t1_total,t2_hcp,t2_tot,t3_hcp,t3_tot,t4_hcp,t4_tot,t5_hcp,t5_tot,t6_hcp,t6_tot,t7_tot,agreement_flag,actual_margin,actual_total,actual_home_win,rules_margin_error,rules_total_error,ml_margin_error,ml_total_error,created_at
173,2026,13,2026-06-04,Adelaide Crows,Geelong Cats,Adelaide Oval,2026-06-05,-6.6,192.0,0.4276,2.34,1.75,0.7,179.8,0.4213,-2.9,176.1,0.4213,-7.0,196.4,0.38,0.11,4.05,-1.5,0.0,0.0,-4.0,-3.0,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
174,2026,13,2026-06-05,Hawthorn Hawks,Western Bulldogs,MCG,2026-06-05,38.7,170.1,0.8588,1.16,7.08,20.0,161.5,0.8723,32.3,161.2,0.8723,25.9,171.1,6.8,2.04,0.5,-1.5,0.0,0.0,5.5,-1.5,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
176,2026,13,2026-06-06,Gold Coast Suns,Brisbane Lions,People First Stadium,2026-06-05,8.1,176.4,0.5892,1.7,2.43,-3.1,169.3,0.6887,2.2,162.8,0.6887,5.3,186.7,0.9,0.27,1.5,0.0,-4.0,-4.6,4.42,-6.0,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
175,2026,13,2026-06-06,North Melbourne Kangaroos,Fremantle Dockers,Marvel Stadium,2026-06-05,-26.9,185.2,0.227,4.41,1.29,-25.8,158.7,0.0212,-22.8,155.8,0.0212,-34.4,185.4,-0.93,-0.28,4.5,0.0,0.0,1.9,3.88,-1.77,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
177,2026,13,2026-06-06,West Coast Eagles,Port Adelaide Power,Optus Stadium,2026-06-05,-25.5,146.4,0.2395,4.18,1.31,-14.6,174.0,0.7599,-12.1,166.7,0.7599,-25.0,155.3,-4.05,-1.21,0.0,-1.5,-3.0,-0.9,5.07,-5.25,1.5,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
179,2026,13,2026-06-07,Essendon Bombers,Carlton Blues,Marvel Stadium,2026-06-05,-21.9,160.5,0.2717,3.68,1.37,-5.5,162.4,0.5817,-18.8,154.7,0.5817,-8.6,165.4,-5.28,-1.59,0.0,0.0,0.0,1.9,-8.0,-5.25,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
178,2026,13,2026-06-07,Sydney Swans,St Kilda Saints,SCG,2026-06-05,54.4,194.6,0.9345,1.07,15.27,31.7,165.8,0.9824,38.6,160.8,0.9824,46.3,198.3,6.03,1.81,-1.81,0.0,3.0,0.5,0.85,-6.0,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
180,2026,13,2026-06-08,Collingwood Magpies,Melbourne Demons,MCG,2026-06-05,21.4,181.8,0.7243,1.38,3.63,13.7,143.6,0.9312,9.3,142.1,0.9312,23.8,182.5,-3.86,-1.16,-0.5,0.0,2.5,0.0,-0.5,0.5,0.0,0.0,0.0,direction,,,,,,,,2026-06-02 16:24:52
