id,season,round_number,game_date,home_team,away_team,venue,run_date,rules_margin,rules_total,rules_home_prob,rules_home_odds,rules_away_odds,ml_margin_raw,ml_total_raw,ml_h2h_raw,ml_margin,ml_total,ml_h2h,t1_margin,t1_total,t2_hcp,t2_tot,t3_hcp,t3_tot,t4_hcp,t4_tot,t5_hcp,t5_tot,t6_hcp,t6_tot,t7_tot,t8_hcp,t8_tot,weather_condition,temp_c,wind_kmh,wind_gust_kmh,wind_for_t7_kmh,precip_mm,dew_point_c,humidity_pct,weather_source,agreement_flag,actual_margin,actual_total,actual_home_win,rules_margin_error,rules_total_error,ml_margin_error,ml_total_error,created_at,ml_h2h_current_shadow,primary_margin,primary_total,primary_home_prob,primary_home_odds,primary_away_odds,primary_source_margin,primary_source_h2h
64,2026,27,2026-09-18,Sydney Swans,Fremantle Dockers,SCG,2026-09-13,15.2,209.2,0.6633,1.51,2.97,28.8,162.0,0.8,26.4,163.3,0.8,11.5,202.4,4.0,1.89,3.0,0.0,3.0,5.4,-8.0,-2.48,0.0,0.0,0.0,1.67,1.98,clear,12.0,4.4,15.1,9.8,0.0,9.8,86.0,open_meteo_fallback,direction,,,,,,,,2026-09-13 12:45:51,0.6216,32.4,209.2,0.8,1.25,5.0,ml,ml_classifier
65,2026,27,2026-09-19,Hawthorn Hawks,Brisbane Lions,MCG,2026-09-13,7.1,196.7,0.5786,1.73,2.37,4.0,149.2,0.7445,3.5,146.9,0.7445,2.9,202.8,0.27,0.08,4.79,0.0,0.0,-3.9,0.5,0.0,0.0,0.0,-3.08,-1.32,0.8,moderate_wind,15.7,20.7,43.6,28.3,0.0,7.3,57.0,open_meteo_fallback,direction,,,,,,,,2026-09-13 12:45:51,0.6488,8.3,196.7,0.7445,1.34,3.91,ml,ml_classifier
