season,round,date,kickoff,venue,home_team,away_team,pred_home_score,pred_away_score,pred_total,fair_home_odds,fair_away_odds,fair_hcap_line,fair_total_line,h2h_home_105,h2h_away_105,hcap_line_105,hcap_price_105,total_line_105,total_price_105,t1_hcap,t2_hcap,t3_hcap,t4_hcap,t5_hcap,t6_hcap,t7_hcap,final_margin,t1_totals,t2_totals,t3_totals,t4_totals,t5_totals,t6_totals,t7_totals,t8_totals,final_total,t5_home_inj_pts,t5_away_inj_pts,home_outs,away_outs,t10_hcap,t10_totals,t10_home_origin_pts,t10_away_origin_pts,home_origin_outs,away_origin_outs,referee,ref_bucket,weather_condition,temp_c,wind_kmh,t1_note,t2_note,t3_note,t4_note,t5_note,t6_note,t7_note,t8_note,t10_note,explanation,actual_home,actual_away,actual_total,margin_error,total_error,model_version
2026,22,2026-07-30,09:50,Queensland Country Bank Stadium,North Queensland Cowboys,Sydney Roosters,17.5,27.0,44.5,4.667,1.273,9.5,44.5,4.44,1.21,9.5,1.905,44.5,1.905,-3.84,-1.7,0,-1.5,-2.5,0,0.0,-9.54,46.17,-1.5,-1.5,2.0,-1.2,0,0.5,0.0,44.47,4.5,2.0,"Reed Mahoney (elite, out); Tom Dearden (rotation, out); John Bateman (rotation, out); Griffin Neame (rotation, out)","Lindsay Collins (rotation, out); Daniel Tupou (rotation, out); Angus Crichton (rotation, out); Blake Steep (rotation, out)",0,0,0,0,none,none,,neutral,clear,20.0,5.0,Sydney Roosters ELO edge — baseline margin -3.8pt (H:21.1 A:25.0),Style matchup fires family [C] — Sydney Roosters hcap -1.7pt / totals -1.5pt,Situational: North Queensland Cowboys short turnaround (5d rest); Sydney Roosters short turnaround (6d rest) — hcap net +0.00pt / totals -1.50pt,Venue edge: Sydney Roosters at Queensland Country Bank Stadium — hcap -1.5pt / totals +2.0pt,"North Queensland Cowboys outs [Reed Mahoney (elite), Tom Dearden (rotation), John Bateman (rotation), Griffin Neame (rotation)] = 4.5pts; Sydney Roosters outs [Lindsay Collins (rotation), Daniel Tupou (rotation), Angus Crichton (rotation), Blake Steep (rotation)] = 2.0pts — net hcap shift -2.5pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,Emotional flags — hcap +0.0pt / totals +0.5pt,"Weather: clear (20.0°C, wind 5km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Sydney Roosters ELO edge — baseline margin -3.8pt (H:21.1 A:25.0) | T2: Style matchup fires family [C] — Sydney Roosters hcap -1.7pt / totals -1.5pt | T3: Situational: North Queensland Cowboys short turnaround (5d rest); Sydney Roosters short turnaround (6d rest) — hcap net +0.00pt / totals -1.50pt | T4: Venue edge: Sydney Roosters at Queensland Country Bank Stadium — hcap -1.5pt / totals +2.0pt | T5: North Queensland Cowboys outs [Reed Mahoney (elite), Tom Dearden (rotation), John Bateman (rotation), Griffin Neame (rotation)] = 4.5pts; Sydney Roosters outs [Lindsay Collins (rotation), Daniel Tupou (rotation), Angus Crichton (rotation), Blake Steep (rotation)] = 2.0pts — net hcap shift -2.5pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: Emotional flags — hcap +0.0pt / totals +0.5pt | T8: Weather: clear (20.0°C, wind 5km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-07-31,08:00,WIN Stadium,St. George Illawarra Dragons,Dolphins,17.8,28.1,45.9,5.119,1.243,10.3,45.9,4.88,1.18,10.3,1.905,45.9,1.905,-11.73,-0.0,-0.59,1.5,0.5,0,0.0,-10.32,47.83,0,-0.75,-1.0,-0.15,0,0,0.0,45.93,1.2,1.8,"Hame Sele (rotation, out); Kade Reed (rotation, doubtful); Jaydn Su'A (rotation, out)","Ray Stone (rotation, out); Jake Averillo (rotation, out); Jack Bostock (rotation, doubtful); Isaiya Katoa (rotation, out)",0,0,0,0,none,none,,neutral,clear,11.5,13.3,Dolphins ELO edge — baseline margin -11.7pt (H:17.6 A:29.3),No style edge fired (families checked: none),Situational: St. George Illawarra Dragons short turnaround (5d rest); Dolphins extra rest (12d); Dolphins travelled 828km — hcap net -0.59pt / totals -0.75pt,Venue edge: St. George Illawarra Dragons at WIN Stadium — hcap +1.5pt / totals -1.0pt,"St. George Illawarra Dragons outs [Hame Sele (rotation), Kade Reed (rotation), Jaydn Su'A (rotation)] = 1.2pts; Dolphins outs [Ray Stone (rotation), Jake Averillo (rotation), Jack Bostock (rotation), Isaiya Katoa (rotation)] = 1.8pts — net hcap shift +0.5pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: clear (11.5°C, wind 13km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Dolphins ELO edge — baseline margin -11.7pt (H:17.6 A:29.3) | T2: No style edge fired (families checked: none) | T3: Situational: St. George Illawarra Dragons short turnaround (5d rest); Dolphins extra rest (12d); Dolphins travelled 828km — hcap net -0.59pt / totals -0.75pt | T4: Venue edge: St. George Illawarra Dragons at WIN Stadium — hcap +1.5pt / totals -1.0pt | T5: St. George Illawarra Dragons outs [Hame Sele (rotation), Kade Reed (rotation), Jaydn Su'A (rotation)] = 1.2pts; Dolphins outs [Ray Stone (rotation), Jake Averillo (rotation), Jack Bostock (rotation), Isaiya Katoa (rotation)] = 1.8pts — net hcap shift +0.5pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: clear (11.5°C, wind 13km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-07-31,10:00,AAMI Park,Melbourne Storm,Canterbury-Bankstown Bulldogs,20.6,16.1,36.7,1.548,2.826,-4.5,36.7,1.47,2.69,-4.5,1.905,36.7,1.905,3.64,0.0,2.27,1.5,-3.0,0,0.0,4.41,41.8,0,-1.25,-1.0,-2.85,0,0,0.0,36.7,9.0,3.0,"Marion Seve (rotation, out); Tui Kamikamica (rotation, out); Ativalu Lisati (rotation, out); Cameron Munster (elite, out); Harry Grant (elite, out); Eliesa Katoa (rotation, out); Will Warbrick (rotation, out); Xavier Coates (rotation, out)","Jake Turpin (key, out); Samuel Hughes (rotation, out); Mitchell Woods (rotation, out); Sitili Tupouniua (rotation, out)",0,0,0,0,none,none,,neutral,clear,7.8,3.6,Melbourne Storm ELO edge — baseline margin +3.6pt (H:23.8 A:20.1),No style edge fired (families checked: none),Situational: Canterbury-Bankstown Bulldogs short turnaround (6d rest); Canterbury-Bankstown Bulldogs travelled 700km — hcap net +2.27pt / totals -1.25pt,Venue edge: Melbourne Storm at AAMI Park — hcap +1.5pt / totals -1.0pt,"Melbourne Storm outs [Marion Seve (rotation), Tui Kamikamica (rotation), Ativalu Lisati (rotation), Cameron Munster (elite), Harry Grant (elite), Eliesa Katoa (rotation), Will Warbrick (rotation), Xavier Coates (rotation)] = 9.0pts; Canterbury-Bankstown Bulldogs outs [Jake Turpin (key), Samuel Hughes (rotation), Mitchell Woods (rotation), Sitili Tupouniua (rotation)] = 3.0pts — net hcap shift -3.0pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: clear (7.8°C, wind 4km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Melbourne Storm ELO edge — baseline margin +3.6pt (H:23.8 A:20.1) | T2: No style edge fired (families checked: none) | T3: Situational: Canterbury-Bankstown Bulldogs short turnaround (6d rest); Canterbury-Bankstown Bulldogs travelled 700km — hcap net +2.27pt / totals -1.25pt | T4: Venue edge: Melbourne Storm at AAMI Park — hcap +1.5pt / totals -1.0pt | T5: Melbourne Storm outs [Marion Seve (rotation), Tui Kamikamica (rotation), Ativalu Lisati (rotation), Cameron Munster (elite), Harry Grant (elite), Eliesa Katoa (rotation), Will Warbrick (rotation), Xavier Coates (rotation)] = 9.0pts; Canterbury-Bankstown Bulldogs outs [Jake Turpin (key), Samuel Hughes (rotation), Mitchell Woods (rotation), Sitili Tupouniua (rotation)] = 3.0pts — net hcap shift -3.0pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: clear (7.8°C, wind 4km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-08-01,05:00,Cbus Super Stadium,Gold Coast Titans,New Zealand Warriors,11.4,26.2,37.6,9.197,1.122,14.8,37.6,8.76,1.07,14.8,1.905,37.6,1.905,-9.82,-4.01,1.0,-1.5,-0.5,0,0.0,-14.83,43.78,-1.5,-1.75,-0.64,-0.3,0,0,-2.0,37.59,2.0,1.5,"Brock Gray (rotation, out); Kurtis Morrin (rotation, doubtful); AJ Brimson (rotation, doubtful); Jensen Taumoepeau (rotation, out); Jaimin Jolliffe (rotation, out)","Taine Tuaupiki (rotation, out); Jackson Ford (rotation, out); Tanah Boyd (rotation, out)",0,0,0,0,none,none,,neutral,moderate wind,17.2,20.5,New Zealand Warriors ELO edge — baseline margin -9.8pt (H:17.5 A:27.4),Style matchup fires family [A] — New Zealand Warriors hcap -4.0pt / totals -1.5pt,Situational: Gold Coast Titans short turnaround (6d rest); New Zealand Warriors travelled 2230km — hcap net +1.00pt / totals -1.75pt,Venue edge: New Zealand Warriors at Cbus Super Stadium — hcap -1.5pt / totals -0.6pt,"Gold Coast Titans outs [Brock Gray (rotation), Kurtis Morrin (rotation), AJ Brimson (rotation), Jensen Taumoepeau (rotation), Jaimin Jolliffe (rotation)] = 2.0pts; New Zealand Warriors outs [Taine Tuaupiki (rotation), Jackson Ford (rotation), Tanah Boyd (rotation)] = 1.5pts — net hcap shift -0.5pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: moderate wind (17.2°C, wind 20km/h) — totals -2.0pt",No Origin game this round — T10 skipped,"T1: New Zealand Warriors ELO edge — baseline margin -9.8pt (H:17.5 A:27.4) | T2: Style matchup fires family [A] — New Zealand Warriors hcap -4.0pt / totals -1.5pt | T3: Situational: Gold Coast Titans short turnaround (6d rest); New Zealand Warriors travelled 2230km — hcap net +1.00pt / totals -1.75pt | T4: Venue edge: New Zealand Warriors at Cbus Super Stadium — hcap -1.5pt / totals -0.6pt | T5: Gold Coast Titans outs [Brock Gray (rotation), Kurtis Morrin (rotation), AJ Brimson (rotation), Jensen Taumoepeau (rotation), Jaimin Jolliffe (rotation)] = 2.0pts; New Zealand Warriors outs [Taine Tuaupiki (rotation), Jackson Ford (rotation), Tanah Boyd (rotation)] = 1.5pts — net hcap shift -0.5pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: moderate wind (17.2°C, wind 20km/h) — totals -2.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-08-01,07:30,Glen Willow Regional Sports Stadium,Penrith Panthers,Canberra Raiders,27.8,16.9,44.7,1.222,5.499,-10.9,44.7,1.16,5.24,-10.9,1.905,44.7,1.905,10.7,0.01,0.15,0,0,0,0.0,10.86,44.74,0,0,0,0,0,0,0.0,44.74,1.2,1.2,"Dylan Edwards (rotation, out); Mitch Kenny (rotation, out); Jack Cogger (rotation, doubtful)","Noah Martin (rotation, out); Owen Pattie (rotation, doubtful); Hudson Young (rotation, out)",0,0,0,0,none,none,,neutral,clear,11.9,10.4,Penrith Panthers ELO edge — baseline margin +10.7pt (H:28.0 A:17.3),No style edge fired (families checked: none),Situational: no significant rest/travel factors — hcap net +0.15pt / totals +0.00pt,No venue edge at Glen Willow Regional Sports Stadium,"Penrith Panthers outs [Dylan Edwards (rotation), Mitch Kenny (rotation), Jack Cogger (rotation)] = 1.2pts; Canberra Raiders outs [Noah Martin (rotation), Owen Pattie (rotation), Hudson Young (rotation)] = 1.2pts — net hcap shift +0.0pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: clear (11.9°C, wind 10km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Penrith Panthers ELO edge — baseline margin +10.7pt (H:28.0 A:17.3) | T2: No style edge fired (families checked: none) | T3: Situational: no significant rest/travel factors — hcap net +0.15pt / totals +0.00pt | T4: No venue edge at Glen Willow Regional Sports Stadium | T5: Penrith Panthers outs [Dylan Edwards (rotation), Mitch Kenny (rotation), Jack Cogger (rotation)] = 1.2pts; Canberra Raiders outs [Noah Martin (rotation), Owen Pattie (rotation), Hudson Young (rotation)] = 1.2pts — net hcap shift +0.0pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: clear (11.9°C, wind 10km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-08-01,09:35,Suncorp Stadium,Brisbane Broncos,Newcastle Knights,26.7,20.9,47.6,1.459,3.18,-5.8,47.6,1.39,3.03,-5.8,1.905,47.6,1.905,0.7,-0.01,0.68,1.5,3.0,0,0.0,5.87,46.74,0,0,2.0,-1.12,0,0,0.0,47.62,1.5,4.8,"Corey Jensen (rotation, out); Brendan Piakura (rotation, out); Aublix Tawha (rotation, out)","Dane Gagai (rotation, out); Kalyn Ponga (rotation, out); Jermaine McEwen (rotation, doubtful); Asu Kepaoa (rotation, out); Jacob Saifiti (rotation, out); James Schiller (rotation, out); Dylan Lucas (rotation, out); Dylan Brown (key, out)",0,0,0,0,none,none,,neutral,clear,13.6,9.4,ELO near-equal — baseline margin +0.7pt (H:23.5 A:22.8),No style edge fired (families checked: none),Situational: Newcastle Knights travelled 618km — hcap net +0.68pt / totals +0.00pt,Venue edge: Brisbane Broncos at Suncorp Stadium — hcap +1.5pt / totals +2.0pt,"Brisbane Broncos outs [Corey Jensen (rotation), Brendan Piakura (rotation), Aublix Tawha (rotation)] = 1.5pts; Newcastle Knights outs [Dane Gagai (rotation), Kalyn Ponga (rotation), Jermaine McEwen (rotation), Asu Kepaoa (rotation), Jacob Saifiti (rotation), James Schiller (rotation), Dylan Lucas (rotation), Dylan Brown (key)] = 4.8pts — net hcap shift +3.0pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: clear (13.6°C, wind 9km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: ELO near-equal — baseline margin +0.7pt (H:23.5 A:22.8) | T2: No style edge fired (families checked: none) | T3: Situational: Newcastle Knights travelled 618km — hcap net +0.68pt / totals +0.00pt | T4: Venue edge: Brisbane Broncos at Suncorp Stadium — hcap +1.5pt / totals +2.0pt | T5: Brisbane Broncos outs [Corey Jensen (rotation), Brendan Piakura (rotation), Aublix Tawha (rotation)] = 1.5pts; Newcastle Knights outs [Dane Gagai (rotation), Kalyn Ponga (rotation), Jermaine McEwen (rotation), Asu Kepaoa (rotation), Jacob Saifiti (rotation), James Schiller (rotation), Dylan Lucas (rotation), Dylan Brown (key)] = 4.8pts — net hcap shift +3.0pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: clear (13.6°C, wind 9km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-08-02,04:00,Ocean Protect Stadium,Cronulla-Sutherland Sharks,South Sydney Rabbitohs,32.7,20.6,53.3,1.186,6.384,-12.1,53.3,1.13,6.08,-12.1,1.905,53.3,1.905,5.58,2.01,0.02,1.5,3.0,0,0.0,12.11,55.94,-0.75,0,-0.55,-1.43,0,0,0.0,53.22,0.2,7.0,"Thomas Hazelton (rotation, doubtful)","Dayne Jennings (rotation, out); Brandon Smith (rotation, out); Latrell Mitchell (elite, out); Sean Keppie (rotation, out); David Fifita (rotation, out); Tallis Duncan (rotation, out); Cameron Murray (rotation, out); Talanoa Penitani (rotation, out); Adam Elliott (rotation, out)",0,0,0,0,none,none,,neutral,clear,6.7,8.3,Cronulla-Sutherland Sharks ELO edge — baseline margin +5.6pt (H:28.3 A:22.7),Style matchup fires family [D] — Cronulla-Sutherland Sharks hcap +2.0pt / totals -0.8pt,Situational: no significant rest/travel factors — hcap net +0.02pt / totals +0.00pt,Venue edge: Cronulla-Sutherland Sharks at Ocean Protect Stadium — hcap +1.5pt / totals -0.5pt,"Cronulla-Sutherland Sharks outs [Thomas Hazelton (rotation)] = 0.2pts; South Sydney Rabbitohs outs [Dayne Jennings (rotation), Brandon Smith (rotation), Latrell Mitchell (elite), Sean Keppie (rotation), David Fifita (rotation), Tallis Duncan (rotation), Cameron Murray (rotation), Talanoa Penitani (rotation), Adam Elliott (rotation)] = 7.0pts — net hcap shift +3.0pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,No emotional flags loaded for this game,"Weather: clear (6.7°C, wind 8km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Cronulla-Sutherland Sharks ELO edge — baseline margin +5.6pt (H:28.3 A:22.7) | T2: Style matchup fires family [D] — Cronulla-Sutherland Sharks hcap +2.0pt / totals -0.8pt | T3: Situational: no significant rest/travel factors — hcap net +0.02pt / totals +0.00pt | T4: Venue edge: Cronulla-Sutherland Sharks at Ocean Protect Stadium — hcap +1.5pt / totals -0.5pt | T5: Cronulla-Sutherland Sharks outs [Thomas Hazelton (rotation)] = 0.2pts; South Sydney Rabbitohs outs [Dayne Jennings (rotation), Brandon Smith (rotation), Latrell Mitchell (elite), Sean Keppie (rotation), David Fifita (rotation), Tallis Duncan (rotation), Cameron Murray (rotation), Talanoa Penitani (rotation), Adam Elliott (rotation)] = 7.0pts — net hcap shift +3.0pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: No emotional flags loaded for this game | T8: Weather: clear (6.7°C, wind 8km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
2026,22,2026-08-02,06:05,CommBank Stadium,Wests Tigers,Parramatta Eels,24.9,24.2,49.1,1.911,2.098,-0.7,49.1,1.82,2.0,-0.7,1.905,49.1,1.905,2.84,-0.31,-1.0,-1.5,0.75,0,0.0,0.78,51.26,0,0,-2.0,-0.68,0,0.5,0.01,49.09,2.0,2.8,"Royce Hunt (rotation, out); Kai Pearce-Paul (rotation, out); Latu Fainu (rotation, out); Taylan May (rotation, out)","Junior Paulo (rotation, doubtful); Sean Russell (rotation, out); Luca Moretti (rotation, out); Bailey Simonsson (rotation, out); Matt Doorey (rotation, out); J'maine Hopgood (rotation, out)",0,0,0,0,none,none,,neutral,clear,6.4,4.7,Wests Tigers ELO edge — baseline margin +2.8pt (H:25.7 A:22.9),No style edge fired (families checked: none),Situational: Parramatta Eels extra rest (10d) — hcap net -1.00pt / totals +0.00pt,Venue edge: Parramatta Eels at CommBank Stadium — hcap -1.5pt / totals -2.0pt,"Wests Tigers outs [Royce Hunt (rotation), Kai Pearce-Paul (rotation), Latu Fainu (rotation), Taylan May (rotation)] = 2.0pts; Parramatta Eels outs [Junior Paulo (rotation), Sean Russell (rotation), Luca Moretti (rotation), Bailey Simonsson (rotation), Matt Doorey (rotation), J'maine Hopgood (rotation)] = 2.8pts — net hcap shift +0.8pt",TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt,Emotional flags — hcap +0.0pt / totals +0.5pt,"Weather: clear (6.4°C, wind 5km/h) — totals +0.0pt",No Origin game this round — T10 skipped,"T1: Wests Tigers ELO edge — baseline margin +2.8pt (H:25.7 A:22.9) | T2: No style edge fired (families checked: none) | T3: Situational: Parramatta Eels extra rest (10d) — hcap net -1.00pt / totals +0.00pt | T4: Venue edge: Parramatta Eels at CommBank Stadium — hcap -1.5pt / totals -2.0pt | T5: Wests Tigers outs [Royce Hunt (rotation), Kai Pearce-Paul (rotation), Latu Fainu (rotation), Taylan May (rotation)] = 2.0pts; Parramatta Eels outs [Junior Paulo (rotation), Sean Russell (rotation), Luca Moretti (rotation), Bailey Simonsson (rotation), Matt Doorey (rotation), J'maine Hopgood (rotation)] = 2.8pts — net hcap shift +0.8pt | T6: TBC (neutral): neutral ref — no totals or hcap adjustment — hcap +0.0pt / totals +0.0pt | T7: Emotional flags — hcap +0.0pt / totals +0.5pt | T8: Weather: clear (6.4°C, wind 5km/h) — totals +0.0pt | T10: No Origin game this round — T10 skipped",,,,,,1.0.0-abc
