club_id,season,as_of_utc,attack,defence,league_adjustment,uefa_prior,matches,source,source_published_at_utc,external_uefa_prior_available,external_domestic_strength_available
dinamo-zagreb,all-history,2026-09-03T00:00:00Z,-0.8466482988184081,0.562118918153541,0.0,0.3611111111111111,36,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
eintracht-frankfurt,all-history,2026-09-03T00:00:00Z,-0.30010459245033816,0.36487171114291084,0.0,0.875,16,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-barcelona,all-history,2026-09-03T00:00:00Z,0.47603950768057496,-0.12421392598667395,0.0,1.9935064935064934,154,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-basel-1893,all-history,2026-09-03T00:00:00Z,-0.20002113389335546,0.13984669172899544,0.0,1.3055555555555556,36,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-bayern-m-nchen,all-history,2026-09-03T00:00:00Z,0.5265739807341296,-0.08653049215227909,0.0,2.1,40,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-internazionale-milano,all-history,2026-09-03T00:00:00Z,0.1518805312927191,-0.24453474129552738,0.0,1.9090909090909092,33,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-k-benhavn,all-history,2026-09-03T00:00:00Z,-0.3282754694170345,0.2595111954850846,0.0,0.9411764705882353,34,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-midtjylland,all-history,2026-09-03T00:00:00Z,-0.7701082216960737,0.2595111954850846,0.0,0.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-nordsj-lland,all-history,2026-09-03T00:00:00Z,-0.7701082216960737,0.7559480817989755,0.0,0.16666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-porto,all-history,2026-09-03T00:00:00Z,0.14618251017808145,-0.1022788491204183,0.0,1.627659574468085,94,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-red-bull-salzburg,all-history,2026-09-03T00:00:00Z,-0.7701082216960737,0.5108256237659906,0.0,0.5,14,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-schalke-04,all-history,2026-09-03T00:00:00Z,-0.06526500137293713,0.25107232683921993,0.0,1.40625,32,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-sheriff,all-history,2026-09-03T00:00:00Z,-0.30010459245033816,0.10536051565782614,0.0,1.1666666666666667,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fc-steaua-bucure-ti,all-history,2026-09-03T00:00:00Z,-1.2809338454620645,0.0183491386681964,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
ferencv-rosi-tc,all-history,2026-09-03T00:00:00Z,-0.5877866649021192,0.5108256237659906,0.0,0.16666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
feyenoord,all-history,2026-09-03T00:00:00Z,-0.5877866649021192,0.32850406697203605,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
feyenoord-rotterdam,all-history,2026-09-03T00:00:00Z,0.13815033848081718,0.3150810466398953,0.0,1.2777777777777777,18,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fk-astana,all-history,2026-09-03T00:00:00Z,-0.5877866649021192,0.10536051565782614,0.0,0.6666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fk-bod-glimt,all-history,2026-09-03T00:00:00Z,0.19633229386355286,0.19633229386355286,0.0,1.5,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
fk-crvena-zvezda,all-history,2026-09-03T00:00:00Z,-0.028170876966696335,0.5648928450362664,0.0,0.5,14,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
