stage,matchday,matches,mean_goals,mean_xg,over25_rate,goal_mean_shrunk,xg_mean_shrunk,over25_rate_shrunk,xg_to_goals_ratio,fit_rule
knockout_phase,Final,2,6.0,6.86540121280476,1.0,3.5045787545787546,3.431408131743763,0.6718559218559218,0.8739474670190159,empirical_bayes_n_over_n_plus_50
knockout_phase,Quarterfinals,16,3.125,3.206991852178657,0.6875,3.336940836940837,3.272943788786737,0.6657046657046657,0.9744334080166259,empirical_bayes_n_over_n_plus_50
knockout_phase,Round of 16,32,3.8125,3.784113074752221,0.71875,3.5638792102206733,3.4852931563065512,0.6821525358110725,1.0075016059739805,empirical_bayes_n_over_n_plus_50
knockout_phase,Semifinals,8,3.875,3.558451660122911,0.5,3.469622331691297,3.330517822518093,0.6368363437328954,1.0889567626910395,empirical_bayes_n_over_n_plus_50
knockout_phase_play_off,Matchday 1,16,3.5,3.136815771623003,0.6875,3.4278499278499277,3.25593140562173,0.6657046657046657,1.1157811790104217,empirical_bayes_n_over_n_plus_50
knockout_phase_play_off,Matchday 2,16,3.6875,3.766005298515642,0.75,3.473304473304473,3.408462200019945,0.6808561808561808,0.9791542251556087,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 1,36,3.4444444444444446,3.2431758485660898,0.7222222222222222,3.421373200442968,3.2727529182958763,0.6853082318198598,1.0620591066523088,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 2,36,3.3333333333333335,3.2714449449439846,0.6388888888888888,3.374861572535991,3.284586493523832,0.6504245108896272,1.0189177532958327,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 3,36,3.388888888888889,3.3489229714980535,0.5555555555555556,3.3981173864894796,3.3170191558022797,0.6155407899593945,1.0119339613753366,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 4,36,2.8055555555555554,2.891272031549011,0.5555555555555556,3.1539313399778512,3.125444343730587,0.6155407899593945,0.9703533686702138,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 5,36,3.638888888888889,3.376435700319986,0.6944444444444444,3.502768549280177,3.328536112053321,0.6736803248431156,1.0777308415925202,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 6,36,3.1666666666666665,3.133511681593665,0.6666666666666666,3.305094130675526,3.226846987935326,0.6620524178663714,1.0105807759606433,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 7,36,3.3333333333333335,3.1494892717131915,0.6388888888888888,3.374861572535991,3.2335352814737326,0.6504245108896272,1.058372658472381,empirical_bayes_n_over_n_plus_50
league_phase,Matchday 8,36,3.4722222222222223,3.1441713708648886,0.6944444444444444,3.433001107419712,3.2313091834442105,0.6736803248431156,1.1043361867604229,empirical_bayes_n_over_n_plus_50
